iter,best,mean,best_route_time,mean_route_time
1,15612.515455463428,21154.02934349772,15612.515455463428,21154.02934349772
2,15612.515455463428,21037.973055387567,15612.515455463428,21037.973055387567
3,15612.515455463428,21068.034946891385,15612.515455463428,21068.034946891385
4,15612.515455463428,20930.635622975944,15612.515455463428,20930.635622975944
5,15390.37418836565,20814.278730559035,15390.37418836565,20814.278730559035
6,15390.37418836565,20732.293972748463,15390.37418836565,20732.293972748463
7,15390.37418836565,21196.18852159719,15390.37418836565,21196.18852159719
8,15390.37418836565,20697.203213193166,15390.37418836565,20697.203213193166
9,15390.37418836565,20044.889610825616,15390.37418836565,20044.889610825616
10,15390.37418836565,20115.33759680783,15390.37418836565,20115.33759680783
11,15390.37418836565,19830.41380711142,15390.37418836565,19830.41380711142
12,15390.37418836565,19607.99587480551,15390.37418836565,19607.99587480551
13,15390.37418836565,19565.49086570501,15390.37418836565,19565.49086570501
14,15390.37418836565,19650.53644450158,15390.37418836565,19650.53644450158
15,15390.37418836565,19255.175887170317,15390.37418836565,19255.175887170317
16,15390.37418836565,19495.371482516945,15390.37418836565,19495.371482516945
17,15390.37418836565,19306.721032018042,15390.37418836565,19306.721032018042
18,15390.37418836565,18939.335421618245,15390.37418836565,18939.335421618245
19,15390.37418836565,19074.958446141525,15390.37418836565,19074.958446141525
20,15390.37418836565,19394.723604733554,15390.37418836565,19394.723604733554
21,15390.37418836565,18992.25338610983,15390.37418836565,18992.25338610983
22,15390.37418836565,19100.945526448333,15390.37418836565,19100.945526448333
23,15390.37418836565,19082.13395788589,15390.37418836565,19082.13395788589
24,15390.37418836565,18924.49595106094,15390.37418836565,18924.49595106094
25,15390.37418836565,18847.660790279115,15390.37418836565,18847.660790279115
26,15390.37418836565,18968.985513769523,15390.37418836565,18968.985513769523
27,15390.37418836565,18892.562455840696,15390.37418836565,18892.562455840696
28,15390.37418836565,18937.61488379554,15390.37418836565,18937.61488379554
29,15390.37418836565,19025.02714983568,15390.37418836565,19025.02714983568
30,15390.37418836565,18775.90366308177,15390.37418836565,18775.90366308177
31,15390.37418836565,18697.794020722355,15390.37418836565,18697.794020722355
32,15390.37418836565,18769.13287690413,15390.37418836565,18769.13287690413
33,15390.37418836565,19298.872028286798,15390.37418836565,19298.872028286798
34,15390.37418836565,19099.527553523403,15390.37418836565,19099.527553523403
35,15390.37418836565,18956.356571085922,15390.37418836565,18956.356571085922
36,15390.37418836565,18929.02831185324,15390.37418836565,18929.02831185324
37,15390.37418836565,19064.56837875061,15390.37418836565,19064.56837875061
38,15390.37418836565,19130.63645966589,15390.37418836565,19130.63645966589
39,15390.37418836565,18665.384045950854,15390.37418836565,18665.384045950854
40,15390.37418836565,18765.68287696939,15390.37418836565,18765.68287696939
41,15390.37418836565,19130.831204927796,15390.37418836565,19130.831204927796
