iter,best,mean,best_route_time,mean_route_time
1,20516.58233110222,25986.333161676208,20516.58233110222,25986.333161676208
2,19486.985585756374,25702.477723973636,19486.985585756374,25702.477723973636
3,19486.985585756374,25441.191575403074,19486.985585756374,25441.191575403074
4,19486.985585756374,26407.499465559475,19486.985585756374,26407.499465559475
5,19486.985585756374,26224.318852620265,19486.985585756374,26224.318852620265
6,19486.985585756374,26135.05077727475,19486.985585756374,26135.05077727475
7,19078.910200861017,26126.01082140941,19078.910200861017,26126.01082140941
8,19078.910200861017,25662.7790175344,19078.910200861017,25662.7790175344
9,19078.910200861017,25668.862071726886,19078.910200861017,25668.862071726886
10,19078.910200861017,25266.826653792385,19078.910200861017,25266.826653792385
11,19078.910200861017,25148.0329715832,19078.910200861017,25148.0329715832
12,19078.910200861017,24882.600781230354,19078.910200861017,24882.600781230354
13,19078.910200861017,24812.889451149236,19078.910200861017,24812.889451149236
14,19078.910200861017,24465.119437708814,19078.910200861017,24465.119437708814
15,19078.910200861017,24472.129610543587,19078.910200861017,24472.129610543587
16,19078.910200861017,24069.29722201816,19078.910200861017,24069.29722201816
17,19078.910200861017,24265.314535612706,19078.910200861017,24265.314535612706
18,19030.940126472196,24160.64901495923,19030.940126472196,24160.64901495923
19,19030.940126472196,23934.05167554841,19030.940126472196,23934.05167554841
20,19030.940126472196,23944.8186460369,19030.940126472196,23944.8186460369
21,19030.940126472196,24390.302218122994,19030.940126472196,24390.302218122994
22,19030.940126472196,23384.303414624534,19030.940126472196,23384.303414624534
23,19030.940126472196,23797.696991136465,19030.940126472196,23797.696991136465
24,19030.940126472196,23801.998365628686,19030.940126472196,23801.998365628686
25,19030.940126472196,23287.87506490147,19030.940126472196,23287.87506490147
