n,azam,ntnsga
1,105870.0,105480.49126242092
2,107610.0,108234.05763445604
3,108430.0,108248.46402556109
4,109080.0,108633.0635756388
5,109150.0,109032.15137330849
6,109520.0,109100.22464778372
7,110630.0,109248.77376703684
8,112370.0,109578.33506611409
9,112860.0,110148.61655655966
10,113060.0,110286.1517864245
11,113660.0,110406.7068848826
12,113670.0,110704.14190218358
13,113920.0,111247.42847460893
14,114480.0,111560.9382075708
15,114550.0,112014.83975458464
16,114940.0,112430.12439806169
17,115000.0,112467.79576893864
18,115290.0,112527.84586892594
19,115320.0,113141.80705091856
20,115340.0,113583.66310334131
21,115620.0,113684.49442734112
22,115620.0,114425.21024421776
23,115870.0,114751.15513965974
24,116520.0,115189.09077490524
25,116550.0,115538.09411413792
26,117400.0,115774.05434426753
27,117650.0,116901.46835007671
28,117910.0,116973.62889569756
29,117990.0,117070.4260244457
30,119590.0,117375.20561170972
