iter,best,mean,best_route_time,mean_route_time
1,31153.28902557854,35464.303519164474,31153.28902557854,62457.1712599574
2,31153.28902557854,35214.32482546607,31153.28902557854,62875.316506027346
3,31153.28902557854,35060.12792153251,31153.28902557854,63238.31463489814
4,31153.28902557854,34741.26548794461,31153.28902557854,61983.961781971295
5,31153.28902557854,34566.24668455286,31153.28902557854,58852.29298497948
6,31153.28902557854,34402.367014324496,31153.28902557854,61530.4327254266
7,31153.28902557854,34174.44171859986,31153.28902557854,61207.644451830725
8,31153.28902557854,33881.22042292685,31153.28902557854,59216.740881219135
9,31153.28902557854,33822.96921039545,31153.28902557854,59031.30255985996
10,31153.28902557854,33755.21934184967,31153.28902557854,58201.908747935544
11,31153.28902557854,33579.91132951791,31153.28902557854,55106.16204844324
12,31153.28902557854,33547.771364481414,31153.28902557854,57388.77432000015
13,31153.28902557854,33441.38961504437,31153.28902557854,58076.94830380178
14,31153.28902557854,33388.295403704986,31153.28902557854,57989.63627628227
15,31153.28902557854,33261.53506389401,31153.28902557854,57736.90465172188
16,31153.28902557854,33166.76168717558,31153.28902557854,57781.906627055134
17,31153.28902557854,33116.588419674445,31153.28902557854,56572.02745836621
18,31153.28902557854,33085.32668219358,31153.28902557854,56658.30703098053
19,31153.28902557854,32986.108184223405,31153.28902557854,55775.89769572441
20,31153.28902557854,32878.16444404432,31153.28902557854,56443.701907019626
21,31153.28902557854,32868.09620700239,31153.28902557854,56026.25638964055
22,31153.28902557854,32867.46182339345,31153.28902557854,54830.53503215802
23,31153.28902557854,32810.31016534932,31153.28902557854,55173.98387033499
24,31153.28902557854,32716.024979148093,31153.28902557854,53532.58889905978
25,31153.28902557854,32633.470112239807,31153.28902557854,54776.57614828057
26,31153.28902557854,32608.792418579193,31153.28902557854,53213.63053082419
27,31153.28902557854,32608.792418579193,31153.28902557854,54680.84682085318
28,31153.28902557854,32596.579270066613,31153.28902557854,53328.00416585377
29,31153.28902557854,32540.604979629243,31153.28902557854,52654.54323213073
30,31153.28902557854,32485.010150176775,31153.28902557854,53049.65772246974
31,31153.28902557854,32444.466008206797,31153.28902557854,52190.8041560544
32,31153.28902557854,32402.738242642685,31153.28902557854,50234.18485460531
33,31153.28902557854,32365.396687489032,31153.28902557854,49366.00340852626
34,31153.28902557854,32317.157406574734,31153.28902557854,52027.50617055675
35,31153.28902557854,32260.811188371164,31153.28902557854,50224.02478320039
36,31153.28902557854,32143.086118944,31153.28902557854,50052.40180209827
37,31153.28902557854,32100.87516477955,31153.28902557854,49791.023037508305
38,31153.28902557854,32065.428189930917,31153.28902557854,50176.07735007019
39,31153.28902557854,32065.428189930917,31153.28902557854,52877.55389840617
40,31153.28902557854,32052.22886528313,31153.28902557854,49679.66505314407
41,31153.28902557854,32020.146080175382,31153.28902557854,49742.61971701584
42,31153.28902557854,31999.96089645161,31153.28902557854,50216.26084169941
43,31153.28902557854,31999.96089645161,31153.28902557854,50693.65872185358
44,31153.28902557854,31979.474167166227,31153.28902557854,49973.98296914741
45,31153.28902557854,31978.839783557294,31153.28902557854,48748.93882033372
46,31153.28902557854,31954.73377254181,31153.28902557854,48448.41466118905
47,31153.28902557854,31885.090277614174,31153.28902557854,48769.71382907157
48,31153.28902557854,31885.090277614174,31153.28902557854,48306.338844755526
49,31153.28902557854,31885.090277614174,31153.28902557854,49071.8121575466
50,31153.28902557854,31885.090277614174,31153.28902557854,48564.81280145624
51,31153.28902557854,31883.798038709276,31153.28902557854,50463.470172570385
52,31153.28902557854,31883.798038709276,31153.28902557854,50010.297089348045
53,31153.28902557854,31855.032276157533,31153.28902557854,49329.39418351846
54,31153.28902557854,31796.970143489238,31153.28902557854,48681.61572780223
55,31153.28902557854,31767.205169120207,31153.28902557854,48395.37924845335
56,31153.28902557854,31742.606426595077,31153.28902557854,47784.449903192966
57,31153.28902557854,31742.606426595077,31153.28902557854,47126.68280966018
58,31153.28902557854,31742.606426595077,31153.28902557854,47225.40674582469
59,31153.28902557854,31738.078407312012,31153.28902557854,48386.45131874155
60,31153.28902557854,31738.078407312012,31153.28902557854,47375.232224728206
