config_name,mean,std,count,min,max
nsga2_comb1,112877.26639503901,3230.2553724956883,10,107842.91668102842,117484.36537837907
nsga2_comb2,113179.54217327377,3398.0557932414745,10,107955.01119398088,118053.5916865094
nsga2_comb3,112847.33597351203,3179.081429154009,10,107842.91668102842,117679.06963483845
nsga2_comb4,112847.2241437067,3273.4010871996725,10,107842.91668102842,117558.16114870024
nsga2_rl,112829.42980702317,3165.349733190326,10,107842.91668102842,116943.33222718386
