config_name,cluster_idx,iter,best_mean,best_std,mean_mean,mean_std,n_runs
nsga2_comb1,0,1.0,32019.117105642483,0.0,41476.04021971948,0.0,1
nsga2_comb1,0,2.0,32019.117105642483,0.0,34641.20995734922,0.0,1
nsga2_comb1,0,3.0,32019.117105642483,0.0,33843.51672529196,0.0,1
nsga2_comb1,0,4.0,32019.117105642483,0.0,33437.396610059,0.0,1
nsga2_comb1,0,5.0,32019.117105642483,0.0,33244.2283023024,0.0,1
nsga2_comb1,0,6.0,32019.117105642483,0.0,33043.83289451062,0.0,1
nsga2_comb1,0,7.0,32019.117105642483,0.0,32883.54796164037,0.0,1
nsga2_comb1,0,8.0,32012.19667405129,0.0,32802.84857944388,0.0,1
nsga2_comb1,0,9.0,31917.39164444871,0.0,32728.63160329942,0.0,1
nsga2_comb1,0,10.0,31917.39164444871,0.0,32662.44741836649,0.0,1
nsga2_comb1,0,11.0,31917.39164444871,0.0,32600.55278074941,0.0,1
nsga2_comb1,0,12.0,31917.39164444871,0.0,32536.86146719649,0.0,1
nsga2_comb1,0,13.0,31917.39164444871,0.0,32476.059655164518,0.0,1
nsga2_comb1,0,14.0,31917.39164444871,0.0,32415.61259180258,0.0,1
nsga2_comb1,0,15.0,31917.39164444871,0.0,32341.420876161366,0.0,1
nsga2_comb1,0,16.0,31663.14266659946,0.0,32220.855638472432,0.0,1
nsga2_comb1,0,17.0,31663.14266659946,0.0,32129.126151649765,0.0,1
nsga2_comb1,0,18.0,31663.14266659946,0.0,32038.471420338632,0.0,1
nsga2_comb1,0,19.0,31663.14266659946,0.0,32003.089299395564,0.0,1
nsga2_comb1,0,20.0,31663.14266659946,0.0,31988.85047312393,0.0,1
nsga2_comb1,0,21.0,31663.14266659946,0.0,31964.486485531783,0.0,1
nsga2_comb1,0,22.0,31663.14266659946,0.0,31915.976766020776,0.0,1
nsga2_comb1,0,23.0,31663.14266659946,0.0,31889.424256885304,0.0,1
nsga2_comb1,0,24.0,31663.14266659946,0.0,31857.643134654147,0.0,1
nsga2_comb1,0,25.0,31663.14266659946,0.0,31799.165869748816,0.0,1
nsga2_comb1,0,26.0,31663.14266659946,0.0,31720.348686615544,0.0,1
nsga2_comb1,0,27.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,28.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,29.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,30.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,31.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,32.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,33.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,34.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,35.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,36.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,37.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,38.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,39.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,40.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,41.0,31663.14266659946,0.0,31663.142666599462,0.0,1
nsga2_comb1,0,42.0,31663.14266659946,0.0,31663.142666599462,0.0,1
