algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
ntnsga2,0,15936,301683.7,700000.0,25934.300000000003,2.8547747135162354,7,1.0
nsga2,0,15936,304324.89999999997,700000.0,25953.600000000002,2.8048300743103027,7,
ga,0,15936,303618.6,700000.0,26002.5,2.8017468452453613,7,
aco,0,15936,304542.0,700000.0,26184.6,2.8066136837005615,7,
pso,0,15936,308899.4,700000.0,26444.0,2.8134710788726807,7,
ntnsga2,1,893129,302316.1,700000.0,26007.1,2.8298447132110596,7,1.0
nsga2,1,893129,304324.89999999997,700000.0,25953.600000000002,2.805457592010498,7,
ga,1,893129,303618.6,700000.0,26002.5,2.8029651641845703,7,
aco,1,893129,304542.0,700000.0,26184.6,2.807406425476074,7,
pso,1,893129,308899.4,700000.0,26444.0,2.8149237632751465,7,
ntnsga2,2,893110,302762.3,700000.0,25888.5,2.832951307296753,7,1.0
nsga2,2,893110,304324.89999999997,700000.0,25953.600000000002,2.8045430183410645,7,
ga,2,893110,303618.6,700000.0,26002.5,2.8032338619232178,7,
aco,2,893110,304542.0,700000.0,26184.6,2.8079230785369873,7,
pso,2,893110,308899.4,700000.0,26444.0,2.8124430179595947,7,
ntnsga2,3,705147,301633.69999999995,700000.0,25967.3,2.8466923236846924,7,1.0
nsga2,3,705147,304324.89999999997,700000.0,25953.600000000002,2.806647539138794,7,
ga,3,705147,303618.6,700000.0,26002.5,2.8021554946899414,7,
aco,3,705147,304542.0,700000.0,26184.6,2.8101727962493896,7,
pso,3,705147,308899.4,700000.0,26444.0,2.8092472553253174,7,
ntnsga2,4,736162,301684.6,700000.0,25931.7,2.836921215057373,7,1.0
nsga2,4,736162,304324.89999999997,700000.0,25953.600000000002,2.8036584854125977,7,
ga,4,736162,303618.6,700000.0,26002.5,2.8023698329925537,7,
aco,4,736162,304542.0,700000.0,26184.6,2.8117737770080566,7,
pso,4,736162,308899.4,700000.0,26444.0,2.814976692199707,7,
ntnsga2,5,164466,302566.1,700000.0,25833.300000000003,2.837468385696411,7,1.0
nsga2,5,164466,304324.89999999997,700000.0,25953.600000000002,2.804964303970337,7,
ga,5,164466,303618.6,700000.0,26002.5,2.802793264389038,7,
aco,5,164466,304542.0,700000.0,26184.6,2.809321403503418,7,
pso,5,164466,308899.4,700000.0,26444.0,2.817999839782715,7,
ntnsga2,6,954646,302047.99999999994,700000.0,26037.1,2.832756996154785,7,1.0
nsga2,6,954646,304324.89999999997,700000.0,25953.600000000002,2.8048744201660156,7,
ga,6,954646,303618.6,700000.0,26002.5,2.8011269569396973,7,
aco,6,954646,304542.0,700000.0,26184.6,2.8096420764923096,7,
pso,6,954646,308899.4,700000.0,26444.0,2.8090364933013916,7,
ntnsga2,7,967494,302315.2,700000.0,26000.100000000002,2.8197591304779053,7,1.0
nsga2,7,967494,304324.89999999997,700000.0,25953.600000000002,2.8050034046173096,7,
ga,7,967494,303618.6,700000.0,26002.5,2.802846908569336,7,
aco,7,967494,304542.0,700000.0,26184.6,2.811811923980713,7,
pso,7,967494,308899.4,700000.0,26444.0,2.8133678436279297,7,
ntnsga2,8,480897,301719.89999999997,700000.0,25936.300000000003,2.8494865894317627,7,1.0
nsga2,8,480897,304324.89999999997,700000.0,25953.600000000002,2.803844690322876,7,
ga,8,480897,303618.6,700000.0,26002.5,2.8036646842956543,7,
aco,8,480897,304542.0,700000.0,26184.6,2.8112878799438477,7,
pso,8,480897,308899.4,700000.0,26444.0,2.8122565746307373,7,
ntnsga2,9,682609,301719.89999999997,700000.0,25930.5,2.843214273452759,7,1.0
nsga2,9,682609,304324.89999999997,700000.0,25953.600000000002,2.805164098739624,7,
ga,9,682609,303618.6,700000.0,26002.5,2.801520347595215,7,
aco,9,682609,304542.0,700000.0,26184.6,2.8114001750946045,7,
pso,9,682609,308899.4,700000.0,26444.0,2.8141279220581055,7,
ntnsga2,10,693656,301683.7,700000.0,25940.100000000002,2.8440136909484863,7,1.0
nsga2,10,693656,304324.89999999997,700000.0,25953.600000000002,2.804269552230835,7,
ga,10,693656,303618.6,700000.0,26002.5,2.8032727241516113,7,
aco,10,693656,304542.0,700000.0,26184.6,2.810473680496216,7,
pso,10,693656,308899.4,700000.0,26444.0,2.8120627403259277,7,
ntnsga2,11,68881,302894.19999999995,700000.0,25939.9,2.838078737258911,7,1.0
nsga2,11,68881,304324.89999999997,700000.0,25953.600000000002,2.80582857131958,7,
ga,11,68881,303618.6,700000.0,26002.5,2.8041930198669434,7,
aco,11,68881,304542.0,700000.0,26184.6,2.8084938526153564,7,
pso,11,68881,308899.4,700000.0,26444.0,2.814087390899658,7,
ntnsga2,12,884860,302858.0,700000.0,25933.2,2.8300039768218994,7,1.0
nsga2,12,884860,304324.89999999997,700000.0,25953.600000000002,2.8042409420013428,7,
ga,12,884860,303618.6,700000.0,26002.5,2.8036224842071533,7,
