iter,best,mean,best_route_time,mean_route_time
1,10843.399237268264,15098.449145762552,10843.399237268264,15098.449145762552
2,10843.399237268264,14144.152931580102,10843.399237268264,14144.152931580102
3,10843.399237268264,13924.136250936901,10843.399237268264,13924.136250936901
4,10843.399237268264,13663.100513200916,10843.399237268264,13663.100513200916
5,10843.399237268264,13676.420047751519,10843.399237268264,13676.420047751519
6,10843.399237268264,13912.696705607721,10843.399237268264,13912.696705607721
7,10843.399237268264,13674.859803921041,10843.399237268264,13674.859803921041
8,10843.399237268264,13919.023475051858,10843.399237268264,13919.023475051858
9,10843.399237268264,13879.228900195512,10843.399237268264,13879.228900195512
10,10843.399237268264,13843.501039896475,10843.399237268264,13843.501039896475
11,10843.399237268264,13893.037484533143,10843.399237268264,13893.037484533143
12,10843.399237268264,13764.35819658618,10843.399237268264,13764.35819658618
13,10843.399237268264,13948.108493319289,10843.399237268264,13948.108493319289
14,10843.399237268264,13742.204383619299,10843.399237268264,13742.204383619299
15,10843.399237268264,13726.6125584264,10843.399237268264,13726.6125584264
16,10843.399237268264,13705.83558734072,10843.399237268264,13705.83558734072
17,10843.399237268264,13841.469629842104,10843.399237268264,13841.469629842104
18,10843.399237268264,14305.6073302291,10843.399237268264,14305.6073302291
19,10843.399237268264,14035.435343651212,10843.399237268264,14035.435343651212
20,10843.399237268264,13922.573559758728,10843.399237268264,13922.573559758728
21,10843.399237268264,13798.404851738931,10843.399237268264,13798.404851738931
22,10843.399237268264,13889.371962063839,10843.399237268264,13889.371962063839
23,10843.399237268264,13831.415084626748,10843.399237268264,13831.415084626748
24,10843.399237268264,13873.158708523926,10843.399237268264,13873.158708523926
25,10843.399237268264,13914.221423119157,10843.399237268264,13914.221423119157
26,10843.399237268264,13868.79806389871,10843.399237268264,13868.79806389871
27,10843.399237268264,13913.346855083073,10843.399237268264,13913.346855083073
28,10843.399237268264,13921.12268907507,10843.399237268264,13921.12268907507
29,10843.399237268264,13943.830247833577,10843.399237268264,13943.830247833577
30,10843.399237268264,13929.765043258736,10843.399237268264,13929.765043258736
31,10843.399237268264,13849.056432898746,10843.399237268264,13849.056432898746
32,10843.399237268264,14021.08707603496,10843.399237268264,14021.08707603496
33,10843.399237268264,14031.569867509766,10843.399237268264,14031.569867509766
34,10843.399237268264,14037.939451656628,10843.399237268264,14037.939451656628
35,10843.399237268264,14007.788599727743,10843.399237268264,14007.788599727743
36,10843.399237268264,13849.746960830482,10843.399237268264,13849.746960830482
37,10843.399237268264,13823.090609372659,10843.399237268264,13823.090609372659
38,10843.399237268264,13974.89730498942,10843.399237268264,13974.89730498942
39,10843.399237268264,14041.97441873593,10843.399237268264,14041.97441873593
40,10843.399237268264,13914.217206488112,10843.399237268264,13914.217206488112
41,10843.399237268264,13951.970624662988,10843.399237268264,13951.970624662988
42,10843.399237268264,14015.980230359075,10843.399237268264,14015.980230359075
43,10843.399237268264,14076.538626676931,10843.399237268264,14076.538626676931
44,10843.399237268264,14029.462125248165,10843.399237268264,14029.462125248165
45,10843.399237268264,13930.178114817558,10843.399237268264,13930.178114817558
46,10843.399237268264,14045.046713669466,10843.399237268264,14045.046713669466
47,10843.399237268264,14003.881382668123,10843.399237268264,14003.881382668123
48,10843.399237268264,13898.376473441862,10843.399237268264,13898.376473441862
49,10843.399237268264,13892.725553347494,10843.399237268264,13892.725553347494
50,10843.399237268264,13875.219847806577,10843.399237268264,13875.219847806577
51,10843.399237268264,14036.070137836934,10843.399237268264,14036.070137836934
52,10843.399237268264,13847.58922086849,10843.399237268264,13847.58922086849
53,10843.399237268264,13917.99697863529,10843.399237268264,13917.99697863529
54,10843.399237268264,13842.111977279237,10843.399237268264,13842.111977279237
55,10843.399237268264,13844.406230379118,10843.399237268264,13844.406230379118
56,10843.399237268264,13855.2575424538,10843.399237268264,13855.2575424538
57,10843.399237268264,13820.904647090423,10843.399237268264,13820.904647090423
