algorithm,runs,initial_best_mean,initial_best_std,final_best_mean,final_best_std,improvement_rate_mean,improvement_rate_std,iter_to_90pct_mean,iter_to_90pct_std,iter_to_95pct_mean,iter_to_95pct_std,iter_to_99pct_mean,iter_to_99pct_std,auc_mean,auc_std
aco,10,5904.1,104.93945873693079,5809.1,180.94775489074186,4.394953330169277,2.9927422983533463,6.571428571428571,4.776643856371567,6.571428571428571,4.776643856371567,6.571428571428571,4.776643856371567,-0.49793897291792016,2.658248585141959
ga,10,3229.1,43.53492850574122,3228.8,43.01813571041869,0.07692307692307693,0.0,31.0,0.0,31.0,0.0,31.0,0.0,0.7564102564102564,0.0
nsga2,10,2894.4,42.32540608192672,2863.4,40.2422663377698,22.142857142857142,16.402774777706462,2.0,0.0,2.0,0.0,2.0,0.0,0.25,0.0
ntnsga2,10,2880.7,46.41131327596753,2861.9,36.08725536806589,11.75,5.570569988789298,2.0,0.0,2.0,0.0,2.0,0.0,0.375,0.0
