,mean,std,min,max,count
GA,253798.4720213632,6103.882803085028,246792.3458936396,263499.62912078004,10.0
PSO,292453.1756635481,14417.93733177808,265555.6612734052,308508.4658926538,10.0
ACO,254328.87474880903,4727.131321146637,246544.4981606914,260864.61969773847,10.0
NSGA2,249905.3574820808,3919.706986735404,242784.69327711925,256561.93379059905,10.0
