GA,PSO,ACO,NSGA2
17955.315857847483,20050.007756938998,18043.660395319253,17777.399374048146
19048.56018422703,20940.351098264757,18659.041951883555,17512.970370959374
18906.937558499638,19831.08726358122,18139.919090258132,18077.471491588956
17798.376813207517,21785.002525082084,18477.933301642548,18277.418549014757
18825.161493406697,21370.5422430989,18433.68573656608,18032.409755490546
17771.53139990229,22185.798008129328,18570.65776297343,17674.76870549641
18636.173001580148,18889.54122386173,17771.16411763304,17841.820197335128
18144.106988471656,22493.701916982547,19006.92331173966,18583.65872104633
18484.699681618742,20653.094053266326,18579.62881803085,17616.980164509307
18118.6777698174,21441.88923483752,17842.70876672797,18055.868946071125
