,mean,std,min,max,count
GA,18368.95407485786,472.69701140739636,17771.53139990229,19048.56018422703,10.0
PSO,20964.101532404344,1126.4473241947458,18889.54122386173,22493.701916982547,10.0
ACO,18352.532325277454,391.8834619184167,17771.16411763304,19006.92331173966,10.0
NSGA2,17945.07662755601,326.917537426362,17512.970370959374,18583.65872104633,10.0
