,mean,std,min,max,count
GA,252825.14783930362,4896.692870241466,244603.16870881215,269305.7869928822,30.0
PSO,285951.8902080603,13071.800628627223,259701.97600747648,317476.15894066833,30.0
ACO,255504.0436272512,4029.6839608439604,248274.58096950356,264386.9743308612,30.0
