GA,PSO,ACO
248944.52532916795,286679.63919511915,254451.37097662655
256251.08725696185,317476.15894066833,253596.60321394505
256684.11701218376,298344.27745132474,254605.60417462146
256386.89229919435,277689.26763779443,254400.23021437728
256997.58779134817,283658.047220533,254518.0609357003
255968.46760880374,296379.96482957684,254223.39846180545
256631.7877856765,284407.1628614317,256981.16306957806
247564.08028220272,268974.1159623838,260395.0097853095
248918.14611266664,291037.4879431586,260480.75075990523
256460.4154114817,259701.97600747648,253448.1190613783
250195.16359105226,297239.3392102266,255607.76555259083
252903.21069596414,287520.12265941314,248274.58096950356
246770.55549896383,284998.50259672117,260571.45390905844
252736.39470965628,274294.91516611684,253866.8625823268
249181.72051331404,280877.2731900994,258233.00913740788
248308.85242840217,264509.8093731797,260461.40200755268
247966.7726394958,289014.15375729813,253660.92620415887
259161.80423952633,288032.84087847185,249416.35234066477
251165.69435986815,289696.63002532185,256560.69432056774
256653.17731446982,294326.58163778344,251235.42471025375
248887.88336605986,285146.4494714563,256895.57334904376
269305.7869928822,275170.6006184665,252889.2245455868
250526.98880631416,304050.5650946239,248816.14052020677
250004.1664202144,271579.0561024087,251424.16221213076
244603.16870881215,302050.3773895456,251728.17932652798
253267.87433582786,281236.84210822906,256409.7467601515
256367.9662145244,310691.736946067,263450.7090477175
250896.24973743391,273328.118773405,264386.9743308612
252579.3791568459,280075.64979631954,258019.4564393996
252464.51855979324,280369.0433971872,256112.35989857698
