algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
ntnsga2,0,460656,115189.09077490523,700000.0,115189.09077490523,2.15639591217041,7,1.0
nsga2,0,460656,115141.14319106915,700000.0,115141.14319106915,2.1747426986694336,7,
ga,0,460656,115260.70649751592,700000.0,115260.70649751592,2.1170706748962402,7,
aco,0,460656,115073.45634896442,700000.0,115073.45634896442,2.1172754764556885,7,
pso,0,460656,115387.58321930238,700000.0,115387.58321930238,2.1063501834869385,7,
ntnsga2,1,691247,113684.49442734112,700000.0,113684.49442734112,2.1742327213287354,7,1.0
nsga2,1,691247,113684.49442734112,700000.0,113684.49442734112,2.1866536140441895,7,
ga,1,691247,113684.49442734112,700000.0,113684.49442734112,2.124216079711914,7,
aco,1,691247,113732.16731367788,700000.0,113732.16731367788,2.1088335514068604,7,
pso,1,691247,115000.2347148469,700000.0,115000.2347148469,2.1124749183654785,7,
ntnsga2,2,77717,116973.62889569756,700000.0,116973.62889569756,2.2158596515655518,7,1.0
nsga2,2,77717,116649.2696991803,700000.0,116649.2696991803,2.169867992401123,7,
ga,2,77717,117345.72712168816,700000.0,117345.72712168816,2.1258113384246826,7,
aco,2,77717,116728.1988371307,700000.0,116728.1988371307,2.1138274669647217,7,
pso,2,77717,116649.2696991803,700000.0,116649.2696991803,2.112375497817993,7,
ntnsga2,3,606663,110406.7068848826,700000.0,110406.7068848826,2.220489501953125,7,1.0
nsga2,3,606663,110322.4993344761,700000.0,110322.4993344761,2.145969867706299,7,
ga,3,606663,110267.57871310263,700000.0,110267.57871310263,2.1274056434631348,7,
aco,3,606663,110473.26782338359,700000.0,110473.26782338359,2.119605779647827,7,
pso,3,606663,110291.54027091451,700000.0,110291.54027091451,2.1147854328155518,7,
ntnsga2,4,353210,109032.15137330849,700000.0,109032.15137330849,2.190643072128296,7,1.0
nsga2,4,353210,109015.96136712638,700000.0,109015.96136712638,2.157426595687866,7,
ga,4,353210,109046.08274584527,700000.0,109046.08274584527,2.1201000213623047,7,
aco,4,353210,109130.28626818144,700000.0,109130.28626818144,2.1200523376464844,7,
pso,4,353210,109178.18373683332,700000.0,109178.18373683332,2.11552357673645,7,
ntnsga2,5,700173,112527.84586892594,700000.0,112527.84586892594,2.2359864711761475,7,1.0
nsga2,5,700173,112464.89740128815,700000.0,112464.89740128815,2.1556897163391113,7,
ga,5,700173,113159.65319284411,700000.0,113159.65319284411,2.1194941997528076,7,
aco,5,700173,112519.81802266162,700000.0,112519.81802266162,2.1102614402770996,7,
pso,5,700173,113513.68985939249,700000.0,113513.68985939249,2.1123764514923096,7,
ntnsga2,6,592950,113141.80705091855,700000.0,113141.80705091855,2.1644222736358643,7,1.0
nsga2,6,592950,113141.80705091853,700000.0,113141.80705091853,2.1912567615509033,7,
ga,6,592950,113222.07990507934,700000.0,113222.07990507934,2.1271705627441406,7,
aco,6,592950,113141.80705091853,700000.0,113141.80705091853,2.123086929321289,7,
pso,6,592950,113230.10775134366,700000.0,113230.10775134366,2.1100223064422607,7,
ntnsga2,7,480214,109100.22464778372,700000.0,109100.22464778372,2.1889541149139404,7,1.0
nsga2,7,480214,109100.2246477837,700000.0,109100.2246477837,2.172344207763672,7,
ga,7,480214,109168.17891715188,700000.0,109168.17891715188,2.1173808574676514,7,
aco,7,480214,109204.45491841219,700000.0,109204.45491841219,2.111952543258667,7,
pso,7,480214,109621.18422315174,700000.0,109621.18422315174,2.1102139949798584,7,
ntnsga2,8,856245,108234.05763445605,700000.0,108234.05763445605,2.229774236679077,7,1.0
