iter,best,mean,best_route_time,mean_route_time
1,24795.117775409286,32886.05680339078,24795.117775409286,32886.05680339078
2,24196.42234311818,28267.11251401512,24196.42234311818,28267.11251401512
3,24196.42234311818,27588.835321627008,24196.42234311818,27588.835321627008
4,24196.42234311818,26839.046775308256,24196.42234311818,26839.046775308256
5,24091.451795839934,26469.8687412576,24091.451795839934,26469.8687412576
6,24091.451795839934,26022.406471731694,24091.451795839934,26022.406471731694
7,24047.773470312153,26300.57576537313,24047.773470312153,26300.57576537313
8,24047.773470312153,26339.892849272084,24047.773470312153,26339.892849272084
9,24047.773470312153,27151.459696198453,24047.773470312153,27151.459696198453
10,24047.773470312153,27095.428628942,24047.773470312153,27095.428628942
11,24047.773470312153,26945.374908263722,24047.773470312153,26945.374908263722
12,24047.773470312153,26719.97960339044,24047.773470312153,26719.97960339044
13,24047.773470312153,26939.0954769814,24047.773470312153,26939.0954769814
14,24047.773470312153,26731.339117151165,24047.773470312153,26731.339117151165
15,23941.18092286191,26349.4552637647,23941.18092286191,26349.4552637647
16,23941.18092286191,26630.19986714777,23941.18092286191,26630.19986714777
17,23941.18092286191,27775.99780073782,23941.18092286191,27775.99780073782
18,23941.18092286191,26862.891760346694,23941.18092286191,26862.891760346694
19,23941.18092286191,27114.07033425068,23941.18092286191,27114.07033425068
20,23941.18092286191,26151.196389705554,23941.18092286191,26151.196389705554
21,23941.18092286191,26475.468246516262,23941.18092286191,26475.468246516262
22,23941.18092286191,25824.486863937047,23941.18092286191,25824.486863937047
23,23941.18092286191,26327.521169105185,23941.18092286191,26327.521169105185
24,23941.18092286191,26154.93840694143,23941.18092286191,26154.93840694143
25,23941.18092286191,25989.308852307677,23941.18092286191,25989.308852307677
26,23941.18092286191,26112.269117745484,23941.18092286191,26112.269117745484
27,23941.18092286191,25939.939052093312,23941.18092286191,25939.939052093312
28,23941.18092286191,26086.55135821938,23941.18092286191,26086.55135821938
29,23941.18092286191,25814.11218063872,23941.18092286191,25814.11218063872
30,23941.18092286191,25851.65031181481,23941.18092286191,25851.65031181481
