iter,best,mean,best_route_time,mean_route_time
1,30939.200925947778,43140.39602178938,30939.200925947778,43140.39602178938
2,28536.090093028466,38521.85978196596,28536.090093028466,38521.85978196596
3,28536.090093028466,36374.81820814249,28536.090093028466,36374.81820814249
4,28536.090093028466,36627.22792698733,28536.090093028466,36627.22792698733
5,28536.090093028466,36327.628711566984,28536.090093028466,36327.628711566984
6,28536.090093028466,35858.11041110482,28536.090093028466,35858.11041110482
7,28536.090093028466,35221.15643382374,28536.090093028466,35221.15643382374
8,28536.090093028466,35234.135977625716,28536.090093028466,35234.135977625716
9,28536.090093028466,34730.79763278204,28536.090093028466,34730.79763278204
10,28536.090093028466,34299.485046459835,28536.090093028466,34299.485046459835
11,28536.09009302846,34177.55646441747,28536.09009302846,34177.55646441747
12,28536.09009302846,34848.56925927873,28536.09009302846,34848.56925927873
13,28536.09009302846,33978.635143532854,28536.09009302846,33978.635143532854
14,28536.09009302846,34687.022280875906,28536.09009302846,34687.022280875906
15,28536.09009302846,34828.962154846035,28536.09009302846,34828.962154846035
16,28536.09009302846,34892.04677637407,28536.09009302846,34892.04677637407
17,28536.09009302846,34363.741984538414,28536.09009302846,34363.741984538414
18,28536.09009302846,34275.25850739188,28536.09009302846,34275.25850739188
19,28536.09009302846,34098.88447656549,28536.09009302846,34098.88447656549
20,28536.09009302846,34935.014047880584,28536.09009302846,34935.014047880584
21,28536.09009302846,36227.80934034304,28536.09009302846,36227.80934034304
22,28536.09009302846,34827.99928885363,28536.09009302846,34827.99928885363
23,28536.09009302846,35194.564762918526,28536.09009302846,35194.564762918526
24,28536.09009302846,34793.94516683374,28536.09009302846,34793.94516683374
25,28536.09009302846,35360.58842543204,28536.09009302846,35360.58842543204
26,28536.09009302846,34996.99941591525,28536.09009302846,34996.99941591525
27,28536.09009302846,35358.92079087257,28536.09009302846,35358.92079087257
28,28536.09009302846,34863.034801585556,28536.09009302846,34863.034801585556
29,28536.09009302846,35646.27790228996,28536.09009302846,35646.27790228996
30,28536.09009302846,34376.9738138079,28536.09009302846,34376.9738138079
31,28536.09009302846,35097.24162672393,28536.09009302846,35097.24162672393
32,28536.09009302846,34972.81515507203,28536.09009302846,34972.81515507203
33,28536.09009302846,34548.271202403776,28536.09009302846,34548.271202403776
34,28536.09009302846,35447.47683426302,28536.09009302846,35447.47683426302
35,28536.09009302846,34379.11729200932,28536.09009302846,34379.11729200932
36,28536.09009302846,34335.18052279387,28536.09009302846,34335.18052279387
37,28536.09009302846,34386.446183677734,28536.09009302846,34386.446183677734
38,28536.09009302846,34581.122040998314,28536.09009302846,34581.122040998314
39,28536.09009302846,34995.675947592856,28536.09009302846,34995.675947592856
40,28536.09009302846,33876.156460697726,28536.09009302846,33876.156460697726
41,28536.09009302846,34377.46087686144,28536.09009302846,34377.46087686144
42,28536.09009302846,35360.815854542976,28536.09009302846,35360.815854542976
43,28536.09009302846,35233.18683149448,28536.09009302846,35233.18683149448
44,28536.09009302846,34339.19979586904,28536.09009302846,34339.19979586904
45,28536.09009302846,35089.43153152351,28536.09009302846,35089.43153152351
46,28536.09009302846,36187.18220480451,28536.09009302846,36187.18220480451
