iter,best,mean
0,31003.925151435655,37533.302214944924
1,31003.925151435655,33593.59527016936
2,31003.925151435655,32237.774269689675
3,31003.925151435655,31176.737055845522
4,31003.925151435655,31003.925151435655
5,31003.925151435655,31003.925151435655
6,31003.925151435655,31003.925151435655
7,31003.925151435655,31003.925151435655
8,31003.925151435655,31003.925151435655
9,31003.925151435655,31003.925151435655
10,31003.925151435655,31003.925151435655
11,31003.925151435655,31003.925151435655
12,31003.925151435655,31003.925151435655
13,31003.925151435655,31003.925151435655
14,31003.925151435655,31003.925151435655
