iter,best,mean,best_route_time,mean_route_time
1,21872.541343591438,27253.801325701563,21872.541343591438,27253.801325701563
2,21029.93594330605,25073.590778870595,21029.93594330605,25073.590778870595
3,20838.103511957754,24255.325273349015,20838.103511957754,24255.325273349015
4,20838.103511957754,23663.750478760427,20838.103511957754,23663.750478760427
5,20838.103511957754,23406.65171942441,20838.103511957754,23406.65171942441
6,20838.103511957754,23198.6335885737,20838.103511957754,23198.6335885737
7,20838.103511957754,22933.869031103033,20838.103511957754,22933.869031103033
8,20838.103511957754,22886.116650477485,20838.103511957754,22886.116650477485
9,20838.103511957754,22773.341035597212,20838.103511957754,22773.341035597212
10,20838.103511957754,22591.99236050013,20838.103511957754,22591.99236050013
11,20838.103511957754,22483.857877503982,20838.103511957754,22483.857877503982
12,20838.103511957754,22436.219214047156,20838.103511957754,22436.219214047156
13,20838.103511957754,22376.339100565398,20838.103511957754,22376.339100565398
