iter,best,mean,best_route_time,mean_route_time
1,17286.401125312223,23391.902723234394,17286.401125312223,23391.902723234394
2,17286.401125312223,21953.979289415587,17286.401125312223,21953.979289415587
3,17286.401125312223,20669.28072448061,17286.401125312223,20669.28072448061
4,17286.401125312223,20525.72252067914,17286.401125312223,20525.72252067914
5,17286.401125312223,20118.71869404418,17286.401125312223,20118.71869404418
6,17286.401125312223,20315.190220464578,17286.401125312223,20315.190220464578
7,17286.401125312223,20538.331513973506,17286.401125312223,20538.331513973506
8,17286.401125312223,20910.10435729545,17286.401125312223,20910.10435729545
9,17286.401125312223,20500.85003161519,17286.401125312223,20500.85003161519
10,17286.401125312223,20963.669413909145,17286.401125312223,20963.669413909145
11,17286.401125312223,20383.199421520916,17286.401125312223,20383.199421520916
12,17286.401125312223,21087.154011296556,17286.401125312223,21087.154011296556
13,17286.401125312223,20567.265734900862,17286.401125312223,20567.265734900862
14,17286.401125312223,20733.76842498434,17286.401125312223,20733.76842498434
15,17286.401125312223,20813.688651618166,17286.401125312223,20813.688651618166
16,17286.401125312223,20877.62002068744,17286.401125312223,20877.62002068744
17,17286.401125312223,20423.542649672472,17286.401125312223,20423.542649672472
18,17286.401125312223,20256.63002782237,17286.401125312223,20256.63002782237
19,17286.401125312223,20412.7930568749,17286.401125312223,20412.7930568749
20,17286.401125312223,21069.593899593943,17286.401125312223,21069.593899593943
21,17286.401125312223,21060.917779687763,17286.401125312223,21060.917779687763
22,17286.401125312223,21080.973478292235,17286.401125312223,21080.973478292235
23,17286.401125312223,21518.49863822118,17286.401125312223,21518.49863822118
24,17286.401125312223,21802.265241761786,17286.401125312223,21802.265241761786
25,17286.401125312223,20970.497728006983,17286.401125312223,20970.497728006983
26,17286.401125312223,21034.358612610482,17286.401125312223,21034.358612610482
27,17286.401125312223,20966.064856770412,17286.401125312223,20966.064856770412
28,17286.401125312223,20804.51830762362,17286.401125312223,20804.51830762362
29,17286.401125312223,21221.177270271102,17286.401125312223,21221.177270271102
30,17286.401125312223,21086.767059504156,17286.401125312223,21086.767059504156
31,17286.401125312223,20931.652491623398,17286.401125312223,20931.652491623398
32,17286.401125312223,21216.83826008592,17286.401125312223,21216.83826008592
33,17286.401125312223,21150.791059346244,17286.401125312223,21150.791059346244
34,17286.401125312223,20680.703012197795,17286.401125312223,20680.703012197795
35,17286.401125312223,21145.476793326798,17286.401125312223,21145.476793326798
36,17286.401125312223,20921.885766150368,17286.401125312223,20921.885766150368
37,17286.401125312223,20635.678904627275,17286.401125312223,20635.678904627275
38,17286.401125312223,21877.859288814263,17286.401125312223,21877.859288814263
39,17286.401125312223,20691.154227762687,17286.401125312223,20691.154227762687
40,17286.401125312223,21198.16909763328,17286.401125312223,21198.16909763328
41,17286.401125312223,21224.645378538884,17286.401125312223,21224.645378538884
42,17286.401125312223,21095.64776522557,17286.401125312223,21095.64776522557
43,17286.401125312223,21064.457013984793,17286.401125312223,21064.457013984793
44,17286.401125312223,21090.67133164729,17286.401125312223,21090.67133164729
45,17286.401125312223,21138.89226913835,17286.401125312223,21138.89226913835
46,17286.401125312223,20955.318377154406,17286.401125312223,20955.318377154406
47,17286.401125312223,21488.077914950525,17286.401125312223,21488.077914950525
48,17286.401125312223,21238.43402328605,17286.401125312223,21238.43402328605
49,17286.401125312223,21087.266163790886,17286.401125312223,21087.266163790886
50,17286.401125312223,21032.2343422607,17286.401125312223,21032.2343422607
51,17286.401125312223,20692.63475608348,17286.401125312223,20692.63475608348
52,17286.401125312223,20921.162576946193,17286.401125312223,20921.162576946193
53,17286.401125312223,20304.652543371205,17286.401125312223,20304.652543371205
54,17286.401125312223,21258.28328867952,17286.401125312223,21258.28328867952
55,17286.401125312223,20567.682125567706,17286.401125312223,20567.682125567706
