iter,best,mean,best_route_time,mean_route_time
1,25815.290836589076,39773.04130783878,25815.290836589076,39773.04130783878
2,25815.290836589076,35848.38861760741,25815.290836589076,35848.38861760741
3,25815.290836589076,32190.143210590402,25815.290836589076,32190.143210590402
4,25815.290836589076,31745.01322969031,25815.290836589076,31745.01322969031
5,25815.290836589076,31897.540200542047,25815.290836589076,31897.540200542047
6,25815.290836589076,31563.736238270594,25815.290836589076,31563.736238270594
7,25815.290836589076,31385.80959507385,25815.290836589076,31385.80959507385
8,25815.290836589076,31386.787128888525,25815.290836589076,31386.787128888525
9,25815.290836589076,31806.866563408435,25815.290836589076,31806.866563408435
10,25815.290836589076,31009.239653091565,25815.290836589076,31009.239653091565
11,25815.290836589076,31691.071464406694,25815.290836589076,31691.071464406694
12,25815.290836589076,31639.74389313291,25815.290836589076,31639.74389313291
13,25815.290836589076,30038.023466395916,25815.290836589076,30038.023466395916
14,25815.290836589076,29948.64889501784,25815.290836589076,29948.64889501784
15,25815.290836589076,30082.13757641289,25815.290836589076,30082.13757641289
16,25815.290836589076,30731.28157957939,25815.290836589076,30731.28157957939
17,25815.290836589076,30880.20807218153,25815.290836589076,30880.20807218153
18,25815.290836589076,32194.913632885382,25815.290836589076,32194.913632885382
19,25815.290836589076,32502.17056541607,25815.290836589076,32502.17056541607
20,25815.290836589076,31682.297170706937,25815.290836589076,31682.297170706937
21,25815.290836589076,32733.573922014693,25815.290836589076,32733.573922014693
22,25815.290836589076,31330.405037950055,25815.290836589076,31330.405037950055
23,25815.290836589076,30881.50762513568,25815.290836589076,30881.50762513568
24,25815.290836589076,30360.33587905735,25815.290836589076,30360.33587905735
25,25815.290836589076,31405.01452146984,25815.290836589076,31405.01452146984
26,25815.290836589076,30633.034388351298,25815.290836589076,30633.034388351298
27,25815.290836589076,30809.585084823615,25815.290836589076,30809.585084823615
28,25815.290836589076,31493.591502639214,25815.290836589076,31493.591502639214
29,25815.290836589076,30993.00897297862,25815.290836589076,30993.00897297862
30,25815.290836589076,30778.462330001246,25815.290836589076,30778.462330001246
31,25815.290836589076,31753.928471327297,25815.290836589076,31753.928471327297
32,25815.290836589076,31171.242705880493,25815.290836589076,31171.242705880493
33,25815.290836589076,31236.262607641103,25815.290836589076,31236.262607641103
34,25815.290836589076,31128.653778281696,25815.290836589076,31128.653778281696
35,25815.290836589076,31442.119654350932,25815.290836589076,31442.119654350932
36,25815.290836589076,31588.03663843855,25815.290836589076,31588.03663843855
37,25815.290836589076,31118.005290863468,25815.290836589076,31118.005290863468
38,25815.290836589076,31635.639647719083,25815.290836589076,31635.639647719083
39,25815.290836589076,30930.239393476608,25815.290836589076,30930.239393476608
40,25815.290836589076,30808.090198686925,25815.290836589076,30808.090198686925
