n,azam,ntnsga
1,105870.0,298386.9
2,107610.0,298386.9
3,108430.0,298386.9
4,109080.0,298386.9
5,109150.0,298386.9
6,109520.0,298386.9
7,110630.0,298386.9
8,112370.0,298386.9
9,112860.0,298401.4
10,113060.0,298401.4
11,113660.0,298401.4
12,113670.0,298401.4
13,113920.0,298401.4
14,114480.0,298401.4
15,114550.0,298401.4
16,114940.0,298401.4
17,115000.0,298401.4
18,115290.0,298401.4
19,115320.0,298401.4
20,115340.0,298401.4
21,115620.0,298536.69999999995
22,115620.0,298536.69999999995
23,115870.0,298536.69999999995
24,116520.0,298572.6
25,116550.0,298587.1
26,117400.0,298587.1
27,117650.0,298587.1
28,117910.0,298587.1
29,117990.0,298691.9
30,119590.0,298707.9
