n,azam,ntnsga
1,105870.0,284574.0
2,107610.0,294567.69999999995
3,108430.0,298563.1
4,109080.0,299440.3
5,109150.0,299707.6
6,109520.0,307128.1
7,110630.0,308026.7
8,112370.0,308654.9
9,112860.0,313133.4
10,113060.0,313729.69999999995
11,113660.0,314360.2
12,113670.0,316226.8
13,113920.0,319122.4
14,114480.0,319909.30000000005
15,114550.0,320391.19999999995
16,114940.0,320407.5
17,115000.0,320417.8
18,115290.0,321030.1
19,115320.0,321311.3
20,115340.0,321886.99999999994
21,115620.0,322448.69999999995
22,115620.0,327180.4
23,115870.0,327549.1
24,116520.0,328639.0
25,116550.0,329660.19999999995
26,117400.0,329672.8
27,117650.0,330290.3
28,117910.0,334555.4
29,117990.0,334777.3
30,119590.0,336675.6
