algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
aco,0,910085,844.0,741735.0,61.28061836756075,2.037837886950001,1,
pso,0,910085,593.0,543696.0,42.80829086528668,2.009206830058247,1,
ga,0,910085,652.0,590247.0,47.58831321684046,2.0319787450134754,1,
nsga2,0,910085,560.0,517659.0,40.33373399055294,2.0878751310519874,1,
ntnsga2,0,910085,560.0,517659.0,39.967959827339634,2.2447986602783203,1,1.0
