algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
pso,14,674040,305829.9,700000.0,28007.0,2.1104769706726074,7,
ntnsga2,15,994127,298536.69999999995,700000.0,27487.0,2.1975622177124023,7,1.0
nsga2,15,994127,298715.0,700000.0,27304.0,2.1701629161834717,7,
ga,15,994127,298827.2,700000.0,27372.699999999997,2.1158978939056396,7,
aco,15,994127,299557.5,700000.0,27345.6,2.121537923812866,7,
pso,15,994127,305829.9,700000.0,28007.0,2.1104204654693604,7,
ntnsga2,16,73099,298401.4,700000.0,27406.2,2.2233331203460693,7,1.0
nsga2,16,73099,298715.0,700000.0,27304.0,2.1300907135009766,7,
ga,16,73099,298827.2,700000.0,27372.699999999997,2.1149473190307617,7,
aco,16,73099,299557.5,700000.0,27345.6,2.1147003173828125,7,
pso,16,73099,305829.9,700000.0,28007.0,2.111891269683838,7,
ntnsga2,17,134774,298691.9,700000.0,27292.1,2.2385871410369873,7,1.0
nsga2,17,134774,298715.0,700000.0,27304.0,2.16546630859375,7,
ga,17,134774,298827.2,700000.0,27372.699999999997,2.1122865676879883,7,
aco,17,134774,299557.4,700000.0,27349.0,2.1145596504211426,7,
pso,17,134774,305829.9,700000.0,28007.0,2.1167821884155273,7,
ntnsga2,18,161850,298386.9,700000.0,27194.9,2.301469326019287,7,1.0
nsga2,18,161850,298715.0,700000.0,27304.0,2.1668004989624023,7,
ga,18,161850,298827.2,700000.0,27372.699999999997,2.117131471633911,7,
aco,18,161850,299557.5,700000.0,27345.6,2.1181180477142334,7,
pso,18,161850,305829.9,700000.0,28007.0,2.1078855991363525,7,
ntnsga2,19,925312,298386.9,700000.0,27194.9,2.1956405639648438,7,1.0
nsga2,19,925312,298715.0,700000.0,27304.0,2.165539026260376,7,
ga,19,925312,298827.2,700000.0,27372.699999999997,2.1140928268432617,7,
aco,19,925312,299557.4,700000.0,27349.0,2.1218037605285645,7,
pso,19,925312,305829.9,700000.0,28007.0,2.1094741821289062,7,
ntnsga2,20,679665,298401.4,700000.0,27406.2,2.2372188568115234,7,1.0
nsga2,20,679665,298715.0,700000.0,27304.0,2.167017698287964,7,
ga,20,679665,298827.2,700000.0,27372.699999999997,2.116037607192993,7,
aco,20,679665,299557.5,700000.0,27345.6,2.1230742931365967,7,
pso,20,679665,305829.9,700000.0,28007.0,2.108919382095337,7,
ntnsga2,21,290787,298587.1,700000.0,27367.4,2.2263259887695312,7,1.0
nsga2,21,290787,298715.0,700000.0,27304.0,2.1587331295013428,7,
ga,21,290787,298827.2,700000.0,27372.699999999997,2.1170237064361572,7,
aco,21,290787,299557.4,700000.0,27349.0,2.1272144317626953,7,
pso,21,290787,305829.9,700000.0,28007.0,2.111187219619751,7,
ntnsga2,22,644482,298587.1,700000.0,27367.4,2.1978025436401367,7,1.0
nsga2,22,644482,298715.0,700000.0,27304.0,2.1459767818450928,7,
ga,22,644482,298827.2,700000.0,27372.699999999997,2.116886615753174,7,
aco,22,644482,299557.4,700000.0,27349.0,2.125627040863037,7,
pso,22,644482,305829.9,700000.0,28007.0,2.1133909225463867,7,
ntnsga2,23,856016,298572.6,700000.0,27156.1,2.179201364517212,7,1.0
nsga2,23,856016,298715.0,700000.0,27304.0,2.169558525085449,7,
ga,23,856016,298827.2,700000.0,27372.699999999997,2.119079113006592,7,
aco,23,856016,299557.4,700000.0,27349.0,2.118471622467041,7,
pso,23,856016,305829.9,700000.0,28007.0,2.115243911743164,7,
ntnsga2,24,644020,298401.4,700000.0,27406.2,2.2244677543640137,7,1.0
nsga2,24,644020,298715.0,700000.0,27304.0,2.1770997047424316,7,
ga,24,644020,298827.2,700000.0,27372.699999999997,2.117222309112549,7,
aco,24,644020,299557.5,700000.0,27345.6,2.1177685260772705,7,
