n,azam,ntnsga
1,105870.0,302811.4
2,107610.0,302811.4
3,108430.0,302848.69999999995
4,109080.0,302864.4
5,109150.0,302864.4
6,109520.0,302864.4
7,110630.0,302864.4
8,112370.0,302896.3
9,112860.0,302941.4
10,113060.0,303097.69999999995
11,113660.0,303097.69999999995
12,113670.0,303097.69999999995
13,113920.0,303097.69999999995
14,114480.0,303097.69999999995
15,114550.0,303097.69999999995
16,114940.0,303097.69999999995
17,115000.0,303097.69999999995
18,115290.0,303097.69999999995
19,115320.0,303097.69999999995
20,115340.0,303097.69999999995
21,115620.0,303097.69999999995
22,115620.0,303097.69999999995
23,115870.0,303097.69999999995
24,116520.0,303097.69999999995
25,116550.0,303097.69999999995
26,117400.0,303097.69999999995
27,117650.0,303097.69999999995
28,117910.0,303097.69999999995
29,117990.0,303097.69999999995
30,119590.0,303129.6
