Iterasi,aco,ga,nsga2,ntnsga2,pso
1,20659.3,20832.900000000012,20832.900000000012,19761.253333333334,20043.5
2,20659.3,19845.7,19845.7,19724.55,19845.7
3,20659.3,19731.8,19731.8,19724.55,19731.8
4,20659.3,19731.8,19731.8,19724.3,19731.8
5,20659.3,19731.8,19731.8,19724.3,19724.3
6,20659.3,19731.8,19731.8,19724.3,19724.3
7,20659.3,19731.8,19731.8,19724.3,19724.3
8,20659.3,19731.8,19731.8,19724.3,19724.3
9,20659.3,19731.8,19731.8,19724.3,19724.3
10,20659.3,19731.8,19731.8,19724.3,19724.3
11,20659.3,19731.8,19731.8,19724.3,19724.3
12,20659.3,19731.8,19731.8,19724.3,19724.3
13,20659.3,19731.8,19731.8,19724.3,19724.3
14,20659.3,19731.8,19731.8,19724.3,19724.3
15,20659.3,19731.8,19731.8,19724.3,19724.3
16,20659.3,19731.8,19731.8,19724.3,19724.3
17,20659.3,19731.8,19731.8,19724.3,19724.3
18,20659.3,19731.8,19731.8,19724.3,19724.3
19,20659.3,19731.8,19731.8,19724.3,19724.3
20,20659.3,19731.8,19731.8,19724.3,19724.3
21,20659.3,19731.8,19731.8,19724.3,19724.3
22,20659.3,19731.8,19731.8,19724.3,19724.3
23,20659.3,19731.8,19731.8,19724.3,19724.3
24,20659.3,19731.8,19731.8,19724.3,19724.3
25,20659.3,19731.8,19731.8,19724.3,19724.3
26,20659.3,19731.8,19731.8,19724.3,19724.3
27,20659.3,19731.8,19731.8,19724.3,19724.3
28,20659.3,19731.8,19731.8,19724.3,19724.3
29,20659.3,19731.8,19731.8,19724.3,19724.3
30,20659.3,19731.8,19731.8,19724.3,19724.3
31,20659.3,19731.8,19731.8,19724.3,19724.3
32,20659.3,19731.8,19731.8,19724.3,19724.3
33,20659.3,19731.8,19731.8,19724.3,19724.3
34,20659.3,19731.8,19731.8,19724.3,19724.3
35,20659.3,19731.8,19731.8,19724.3,19724.3
36,20659.3,19731.8,19731.8,19724.3,19724.3
37,20659.3,19731.8,19731.8,19724.3,19724.3
38,20659.3,19731.8,19731.8,19724.3,19724.3
39,20659.3,19731.8,19731.8,19724.3,19724.3
40,20659.3,19731.8,19731.8,19724.3,19724.3
41,20659.3,19731.8,19731.8,19724.3,19724.3
42,20659.3,19731.8,19731.8,,19724.3
43,20659.3,19731.8,19731.8,,19724.3
44,20659.3,19731.8,19731.8,,19724.3
45,20659.3,19731.8,19731.8,,19724.3
46,20659.3,19731.8,19731.8,,19724.3
47,20659.3,19731.8,19731.8,,19724.3
48,20659.3,19731.8,19731.8,,19724.3
49,20659.3,19731.8,19731.8,,19724.3
50,20659.3,19731.8,19731.8,,19724.3
51,20659.3,19731.8,19731.8,,19724.3
52,20659.3,19731.8,19731.8,,19724.3
53,20659.3,19731.8,19731.8,,19724.3
54,20659.3,19731.8,19731.8,,19724.3
55,20659.3,19731.8,19731.8,,19724.3
56,20659.3,19731.8,19731.8,,19724.3
57,20659.3,19731.8,19731.8,,19724.3
58,20659.3,19731.8,19731.8,,19724.3
59,20659.3,19731.8,19731.8,,19724.3
60,20659.3,19731.8,19731.8,,19724.3
61,20659.3,19731.8,19731.8,,19724.3
62,20659.3,19731.8,19731.8,,19724.3
63,20659.3,19731.8,19731.8,,19724.3
64,20659.3,19731.8,19731.8,,19724.3
65,20659.3,19731.8,19731.8,,19724.3
66,20659.3,19731.8,19731.8,,19724.3
67,20659.3,19731.8,19731.8,,19724.3
68,20659.3,19731.8,19731.8,,19724.3
69,20659.3,19731.8,19731.8,,19724.3
70,20659.3,19731.8,19731.8,,19724.3
71,20659.3,19731.8,19731.8,,19724.3
72,20659.3,19731.8,19731.8,,19724.3
73,20659.3,19731.8,19731.8,,19724.3
74,20659.3,19731.8,19731.8,,19724.3
75,20659.3,19731.8,19731.8,,19724.3
76,20659.3,19731.8,19731.8,,19724.3
77,20659.3,19731.8,19731.8,,19724.3
78,20659.3,19731.8,19731.8,,19724.3
79,20659.3,19731.8,19731.8,,19724.3
80,20659.3,19731.8,19731.8,,19724.3
81,20659.3,19731.8,19731.8,,19724.3
82,20659.3,19731.8,19731.8,,19724.3
83,20659.3,19731.8,19731.8,,19724.3
84,20659.3,19731.8,19731.8,,19724.3
85,20659.3,19731.8,19731.8,,19724.3
86,20659.3,19731.8,19731.8,,19724.3
87,20659.3,19731.8,19731.8,,19724.3
88,20659.3,19731.8,19731.8,,19724.3
89,20659.3,19731.8,19731.8,,19724.3
90,20659.3,19731.8,19731.8,,19724.3
91,20659.3,19731.8,19731.8,,19724.3
92,20659.3,19731.8,19731.8,,19724.3
93,20659.3,19731.8,19731.8,,19724.3
94,20659.3,19731.8,19731.8,,19724.3
95,20659.3,19731.8,19731.8,,19724.3
96,20659.3,19731.8,19731.8,,19724.3
97,20659.3,19731.8,19731.8,,19724.3
98,20659.3,19731.8,19731.8,,19724.3
99,20659.3,19731.8,19731.8,,19724.3
100,20659.3,19731.8,19731.8,,19724.3
101,20659.3,19731.8,19731.8,,19724.3
102,20659.3,19731.8,19731.8,,19724.3
103,20659.3,19731.8,19731.8,,19724.3
104,20659.3,19731.8,19731.8,,19724.3
105,20659.3,19731.8,19731.8,,19724.3
106,20659.3,19731.8,19731.8,,19724.3
107,20659.3,19731.8,19731.8,,19724.3
108,20659.3,19731.8,19731.8,,19724.3
109,20659.3,19731.8,19731.8,,19724.3
110,20659.3,19731.8,19731.8,,19724.3
111,20659.3,19731.8,19731.8,,19724.3
112,20659.3,19731.8,19731.8,,19724.3
113,20659.3,19731.8,19731.8,,19724.3
114,20659.3,19731.8,19731.8,,19724.3
115,20659.3,19731.8,19731.8,,19724.3
116,20659.3,19731.8,19731.8,,19724.3
117,20659.3,19731.8,19731.8,,19724.3
118,20659.3,19731.8,19731.8,,19724.3
119,20659.3,19731.8,19731.8,,19724.3
120,20659.3,19731.8,19731.8,,19724.3
121,20659.3,19731.8,19731.8,,19724.3
122,20659.3,19731.8,19731.8,,19724.3
123,20659.3,19731.8,19731.8,,19724.3
124,20659.3,19731.8,19731.8,,19724.3
125,20659.3,19731.8,19731.8,,19724.3
126,20659.3,19731.8,19731.8,,19724.3
127,20659.3,19731.8,19731.8,,19724.3
128,20659.3,19731.8,19731.8,,19724.3
129,20659.3,19731.8,19731.8,,19724.3
130,20659.3,19731.8,19731.8,,19724.3
131,20659.3,19731.8,19731.8,,19724.3
132,20659.3,19731.8,19731.8,,19724.3
133,20659.3,19731.8,19731.8,,19724.3
134,20659.3,19731.8,19731.8,,19724.3
135,20659.3,19731.8,19731.8,,19724.3
136,20659.3,19731.8,19731.8,,19724.3
137,20659.3,19731.8,19731.8,,19724.3
138,20659.3,19731.8,19731.8,,19724.3
139,20659.3,19731.8,19731.8,,19724.3
140,20659.3,19731.8,19731.8,,19724.3
141,20659.3,19731.8,19731.8,,19724.3
142,20659.3,19731.8,19731.8,,19724.3
143,20659.3,19731.8,19731.8,,19724.3
144,20659.3,19731.8,19731.8,,19724.3
145,20659.3,19731.8,19731.8,,19724.3
146,20659.3,19731.8,19731.8,,19724.3
147,20659.3,19731.8,19731.8,,19724.3
148,20659.3,19731.8,19731.8,,19724.3
149,20659.3,19731.8,19731.8,,19724.3
150,20659.3,19731.8,19731.8,,
151,20659.3,19731.8,19731.8,,
152,20659.3,19731.8,19731.8,,
153,20659.3,19731.8,19731.8,,
154,20659.3,19731.8,19731.8,,
155,20659.3,19731.8,19731.8,,
156,20659.3,19731.8,19731.8,,
157,20659.3,19731.8,19731.8,,
158,20659.3,19731.8,19731.8,,
159,20659.3,19731.8,19731.8,,
160,20659.3,19731.8,19731.8,,
161,20659.3,19731.8,19731.8,,
162,20659.3,19731.8,19731.8,,
163,20659.3,19731.8,19731.8,,
164,20659.3,19731.8,19731.8,,
165,20659.3,19731.8,19731.8,,
166,20659.3,19731.8,19731.8,,
167,20659.3,19731.8,19731.8,,
168,20659.3,19731.8,19731.8,,
169,20659.3,19731.8,19731.8,,
170,20659.3,19731.8,19731.8,,
171,20659.3,19731.8,19731.8,,
172,20659.3,19731.8,19731.8,,
173,20659.3,19731.8,19731.8,,
174,20659.3,19731.8,19731.8,,
175,20659.3,19731.8,19731.8,,
176,20659.3,19731.8,19731.8,,
177,20659.3,19731.8,19731.8,,
178,20659.3,19731.8,19731.8,,
179,20659.3,19731.8,19731.8,,
180,20659.3,19731.8,19731.8,,
181,20659.3,19731.8,19731.8,,
182,20659.3,19731.8,19731.8,,
183,20659.3,19731.8,19731.8,,
184,20659.3,19731.8,19731.8,,
185,20659.3,19731.8,19731.8,,
186,20659.3,19731.8,19731.8,,
187,20659.3,19731.8,19731.8,,
188,20659.3,19731.8,19731.8,,
189,20659.3,19731.8,19731.8,,
190,20659.3,19731.8,19731.8,,
191,20659.3,19731.8,19731.8,,
192,20659.3,19731.8,19731.8,,
193,20659.3,19731.8,19731.8,,
194,20659.3,19731.8,19731.8,,
195,20659.3,19731.8,19731.8,,
196,20659.3,19731.8,19731.8,,
197,20659.3,19731.8,19731.8,,
198,20659.3,19731.8,19731.8,,
199,20659.3,19731.8,19731.8,,
200,20659.3,19731.8,19731.8,,
201,20659.3,19731.8,19731.8,,
202,20659.3,19731.8,19731.8,,
203,20659.3,19731.8,19731.8,,
204,20659.3,19731.8,19731.8,,
205,20659.3,19731.8,19731.8,,
206,20659.3,19731.8,19731.8,,
207,20659.3,19731.8,19731.8,,
208,20659.3,19731.8,19731.8,,
209,20659.3,19731.8,19731.8,,
210,20659.3,19731.8,19731.8,,
211,20659.3,19731.8,19731.8,,
212,20659.3,19731.8,19731.8,,
213,20659.3,19731.8,19731.8,,
214,20659.3,19731.8,19731.8,,
215,20659.3,19731.8,19731.8,,
216,,19731.8,19731.8,,
217,,19731.8,19731.8,,
218,,19731.8,19731.8,,
219,,19731.8,19731.8,,
220,,19731.8,19731.8,,
221,,19731.8,19731.8,,
222,,19731.8,19731.8,,
223,,19731.8,19731.8,,
224,,19731.8,19731.8,,
225,,19731.8,19731.8,,
226,,19731.8,19731.8,,
227,,19731.8,19731.8,,
228,,19731.8,19731.8,,
229,,19731.8,19731.8,,
230,,19731.8,19731.8,,
231,,19731.8,19731.8,,
232,,19731.8,19731.8,,
233,,19731.8,19731.8,,
234,,19731.8,19731.8,,
235,,19731.8,19731.8,,
236,,19731.8,19731.8,,
237,,19731.8,19731.8,,
238,,19731.8,19731.8,,
239,,19731.8,19731.8,,
240,,19731.8,19731.8,,
241,,19731.8,19731.8,,
242,,19731.8,19731.8,,
243,,19731.8,19731.8,,
244,,19731.8,19731.8,,
245,,19731.8,19731.8,,
246,,19731.8,19731.8,,
247,,19731.8,19731.8,,
248,,19731.8,19731.8,,
249,,19731.8,19731.8,,
250,,19731.8,19731.8,,
251,,19731.8,19731.8,,
252,,19731.8,19731.8,,
253,,19731.8,19731.8,,
254,,19731.8,19731.8,,
255,,19731.8,19731.8,,
256,,19731.8,19731.8,,
257,,19731.8,19731.8,,
258,,19731.8,19731.8,,
259,,19731.8,19731.8,,
260,,19731.8,19731.8,,
261,,19731.8,19731.8,,
262,,19731.8,19731.8,,
263,,19731.8,19731.8,,
264,,19731.8,19731.8,,
265,,19731.8,19731.8,,
266,,19731.8,19731.8,,
267,,19731.8,19731.8,,
268,,19731.8,19731.8,,
269,,19731.8,19731.8,,
270,,19731.8,19731.8,,
271,,19731.8,19731.8,,
272,,19731.8,19731.8,,
273,,19731.8,19731.8,,
274,,19731.8,19731.8,,
275,,19731.8,19731.8,,
276,,19731.8,19731.8,,
277,,19731.8,19731.8,,
278,,19731.8,19731.8,,
279,,19731.8,19731.8,,
280,,19731.8,19731.8,,
281,,19731.8,19731.8,,
282,,19731.8,19731.8,,
283,,19731.8,19731.8,,
284,,19731.8,19731.8,,
285,,19731.8,19731.8,,
286,,19731.8,19731.8,,
287,,19731.8,19731.8,,
288,,19731.8,19731.8,,
289,,19731.8,19731.8,,
290,,19731.8,19731.8,,
291,,19731.8,19731.8,,
292,,19731.8,19731.8,,
293,,19731.8,19731.8,,
294,,19731.8,19731.8,,
295,,19731.8,19731.8,,
296,,19731.8,19731.8,,
297,,19731.8,19731.8,,
298,,19731.8,19731.8,,
299,,19731.8,19731.8,,
300,,19731.8,19731.8,,
301,,19731.8,19731.8,,
302,,19731.8,19731.8,,
303,,19731.8,19731.8,,
304,,19731.8,19731.8,,
305,,19731.8,19731.8,,
306,,19731.8,19731.8,,
307,,19731.8,19731.8,,
308,,19731.8,19731.8,,
309,,19731.8,19731.8,,
310,,19731.8,19731.8,,
311,,19731.8,19731.8,,
312,,19731.8,19731.8,,
313,,19731.8,19731.8,,
314,,19731.8,19731.8,,
315,,19731.8,19731.8,,
316,,19731.8,19731.8,,
317,,19731.8,19731.8,,
318,,19731.8,19731.8,,
319,,19731.8,19731.8,,
320,,19731.8,19731.8,,
321,,19731.8,19731.8,,
322,,19731.8,19731.8,,
323,,19731.8,19731.8,,
324,,19731.8,19731.8,,
325,,19731.8,19731.8,,
326,,19731.8,19731.8,,
327,,19731.8,19731.8,,
328,,19731.8,19731.8,,
329,,19731.8,19731.8,,
330,,19731.8,19731.8,,
331,,19731.8,19731.8,,
332,,19731.8,19731.8,,
333,,19731.8,19731.8,,
334,,19731.8,19731.8,,
335,,19731.8,19731.8,,
336,,19731.8,19731.8,,
337,,19731.8,19731.8,,
338,,19731.8,19731.8,,
339,,19731.8,19731.8,,
340,,19731.8,19731.8,,
341,,19731.8,19731.8,,
342,,19731.8,19731.8,,
343,,19731.8,19731.8,,
344,,19731.8,19731.8,,
345,,19731.8,19731.8,,
346,,19731.8,19731.8,,
347,,19731.8,19731.8,,
348,,19731.8,19731.8,,
349,,19731.8,19731.8,,
350,,19731.8,19731.8,,
351,,19731.8,19731.8,,
352,,19731.8,19731.8,,
353,,19731.8,19731.8,,
354,,19731.8,19731.8,,
355,,19731.8,19731.8,,
356,,19731.8,19731.8,,
357,,19731.8,19731.8,,
358,,19731.8,19731.8,,
359,,19731.8,19731.8,,
360,,19731.8,19731.8,,
361,,19731.8,19731.8,,
362,,19731.8,19731.8,,
363,,19731.8,19731.8,,
364,,19731.8,19731.8,,
365,,19731.8,19731.8,,
366,,19731.8,19731.8,,
367,,19731.8,19731.8,,
368,,19731.8,19731.8,,
369,,19731.8,19731.8,,
370,,19731.8,19731.8,,
371,,19731.8,19731.8,,
372,,19731.8,19731.8,,
373,,19731.8,19731.8,,
374,,19731.8,19731.8,,
375,,19731.8,19731.8,,
376,,19731.8,19731.8,,
377,,19731.8,19731.8,,
378,,19731.8,19731.8,,
379,,19731.8,19731.8,,
380,,19731.8,19731.8,,
381,,19731.8,19731.8,,
382,,19731.8,19731.8,,
383,,19731.8,19731.8,,
384,,19731.8,19731.8,,
385,,19731.8,19731.8,,
386,,19731.8,19731.8,,
387,,19731.8,,,
388,,19731.8,,,
389,,19731.8,,,
390,,19731.8,,,
391,,19731.8,,,
392,,19731.8,,,
393,,19731.8,,,
394,,19731.8,,,
395,,19731.8,,,
396,,19731.8,,,
397,,19731.8,,,
398,,19731.8,,,
399,,19731.8,,,
400,,19731.8,,,
401,,19731.8,,,
402,,19731.8,,,
403,,19731.8,,,
404,,19731.8,,,
405,,19731.8,,,
406,,19731.8,,,
407,,19731.8,,,
408,,19731.8,,,
409,,19731.8,,,
410,,19731.8,,,
411,,19731.8,,,
412,,19731.8,,,
413,,19731.8,,,
414,,19731.8,,,
415,,19731.8,,,
416,,19731.8,,,
417,,19731.8,,,
418,,19731.8,,,
419,,19731.8,,,
