Iterasi,aco,ga,nsga2,ntnsga2,pso
1,72805.19999999998,80644.2,80644.2,79458.10333333336,137541.89999999994
2,71759.30000000003,77524.60000000005,72058.5,71411.28333333334,125380.20000000006
3,68377.19999999997,77524.60000000005,72058.5,69196.37333333334,113573.99999999999
4,68377.19999999997,73139.89999999997,72058.5,67575.03666666667,113573.99999999999
5,68377.19999999997,73139.89999999997,72058.5,66349.77,103986.39999999995
6,68377.19999999997,73139.89999999997,72058.5,65670.64333333334,94972.0
7,68377.19999999997,71054.89999999997,72058.5,65237.60333333335,94972.0
8,68377.19999999997,65177.99999999999,66696.60000000003,65095.46,94972.0
9,68377.19999999997,65177.99999999999,66696.60000000003,65020.92333333335,89667.60000000005
10,68202.10000000003,65177.99999999999,66696.60000000003,64975.256666666675,82521.8
11,68202.10000000003,65177.99999999999,66696.60000000003,64864.28333333335,82521.8
12,68202.10000000003,65177.99999999999,66696.60000000003,64851.340000000004,82521.8
13,68202.10000000003,65029.10000000003,66696.60000000003,64808.00333333334,82521.8
14,67749.10000000003,64812.60000000003,66529.39999999997,64782.063333333346,76742.60000000005
15,67749.10000000003,64812.60000000003,66465.39999999997,64779.930000000015,74499.60000000003
16,67749.10000000003,64812.60000000003,66286.19999999997,64765.85000000001,74499.60000000003
17,67688.10000000003,64812.60000000003,66286.19999999997,64765.85000000001,74499.60000000003
18,67688.10000000003,64812.60000000003,66286.19999999997,64765.85000000001,73292.5
19,67688.10000000003,64812.60000000003,66286.19999999997,64765.85000000001,73292.5
20,66622.69999999997,64812.60000000003,66286.19999999997,64765.85000000001,73292.5
21,65461.80000000003,64812.60000000003,66286.19999999997,64765.85000000001,73292.5
22,65401.39999999997,64812.60000000003,66286.19999999997,64765.85000000001,73292.5
23,65401.39999999997,64812.60000000003,66286.19999999997,64765.85000000001,73292.5
24,65401.39999999997,64812.60000000003,66286.19999999997,64765.85000000001,73292.5
25,65401.39999999997,64812.60000000003,66286.19999999997,64765.85000000001,72863.19999999998
26,65401.39999999997,64812.60000000003,66286.19999999997,64765.85000000001,72863.19999999998
27,65401.39999999997,64812.60000000003,66286.19999999997,64765.85000000001,72863.19999999998
28,65401.39999999997,64812.60000000003,66286.19999999997,64765.85000000001,72863.19999999998
29,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
30,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
31,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
32,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
33,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
34,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
35,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
36,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
37,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
38,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
39,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
40,65401.39999999997,64812.60000000003,66286.19999999997,,72863.19999999998
41,65401.39999999997,64812.60000000003,66286.19999999997,,72301.39999999997
42,65401.39999999997,64812.60000000003,66286.19999999997,,72301.39999999997
43,65401.39999999997,64812.60000000003,66286.19999999997,,72301.39999999997
44,65401.39999999997,64812.60000000003,66286.19999999997,,72301.39999999997
45,65401.39999999997,64812.60000000003,66286.19999999997,,72301.39999999997
46,65401.39999999997,64812.60000000003,66286.19999999997,,72301.39999999997
47,65401.39999999997,64812.60000000003,66286.19999999997,,72301.39999999997
48,65401.39999999997,64812.60000000003,66286.19999999997,,71904.60000000005
49,65401.39999999997,64812.60000000003,66286.19999999997,,71751.10000000003
50,65401.39999999997,64812.60000000003,66286.19999999997,,71751.10000000003
51,65401.39999999997,64812.60000000003,66286.19999999997,,71751.10000000003
52,65401.39999999997,64812.60000000003,66286.19999999997,,71751.10000000003
53,65247.89999999997,64812.60000000003,66286.19999999997,,71751.10000000003
54,65247.89999999997,64812.60000000003,66286.19999999997,,71751.10000000003
55,65247.89999999997,64812.60000000003,66286.19999999997,,71751.10000000003
56,65247.89999999997,64812.60000000003,66286.19999999997,,71751.10000000003
57,65247.89999999997,64812.60000000003,66286.19999999997,,71751.10000000003
58,65247.89999999997,64812.60000000003,66286.19999999997,,71751.10000000003
59,,64812.60000000003,66286.19999999997,,71751.10000000003
60,,64812.60000000003,66286.19999999997,,
61,,64812.60000000003,66286.19999999997,,
