n,Ahmad,NT-NSGA-II
1,105870.0,301633.69999999995
2,107610.0,301683.7
3,108430.0,301683.7
4,109080.0,301683.7
5,109150.0,301684.6
6,109520.0,301684.6
7,110630.0,301719.9
8,112370.0,301719.9
9,112860.0,302012.69999999995
10,113060.0,302039.69999999995
11,113660.0,302047.99999999994
12,113670.0,302047.99999999994
13,113920.0,302047.99999999994
14,114480.0,302047.99999999994
15,114550.0,302047.99999999994
16,114940.0,302265.2
17,115000.0,302315.2
18,115290.0,302315.2
19,115320.0,302316.1
20,115340.0,302351.4
21,115620.0,302529.9
22,115620.0,302529.9
23,115870.0,302529.9
24,116520.0,302566.1
25,116550.0,302762.3
26,117400.0,302814.4
27,117650.0,302858.0
28,117910.0,302894.19999999995
29,117990.0,302894.19999999995
30,119590.0,303197.6
