jalur,route
1,"75,63,62,64,5,6,58,8"
2,"56,69,54,32,51,55,46,74,43,73"
3,"29,28,27,26"
4,"44,45,39,38,37,68,35,33,31,34,32,72"
5,"66,20,21,25,24,23,22,1,19,7"
6,"50,48,47,49,53,57,41,42,40,30,36,71"
7,"15,16,14,13,70,11,10,65,59,60,4,17,3,2,9,61,76,67,18,12"
