n,azam,ntnsga
1,105870.0,322385.1
2,107610.0,322391.6
3,108430.0,322419.7
4,109080.0,322458.9
5,109150.0,322458.9
6,109520.0,322465.4
7,110630.0,322669.80000000005
8,112370.0,322729.5
9,112860.0,322729.5
10,113060.0,322746.4
11,113660.0,322752.9
12,113670.0,322860.70000000007
13,113920.0,322867.20000000007
14,114480.0,322889.7
15,114550.0,322908.4
16,114940.0,322925.5
17,115000.0,322932.0
18,115290.0,322932.0
19,115320.0,322932.0
20,115340.0,322979.7
21,115620.0,322979.7
22,115620.0,322979.7
23,115870.0,322992.5
24,116520.0,323014.30000000005
25,116550.0,323014.30000000005
26,117400.0,323094.0
27,117650.0,323099.30000000005
28,117910.0,323264.10000000003
29,117990.0,323470.30000000005
30,119590.0,323494.7
